qid,text
0,when did richmond last play in a preliminary final
1,who sang what in the world's come over you
2,who produces the most wool in the world
3,where does alaska the last frontier take place
4,a day to remember all i want cameos
5,what does the red stripes mean on the american flag
6,where did they film diary of a wimpy kid
7,where was beasts of the southern wild filmed
8,what part of the country are you likely to find the majority of the mollisols
9,when did fosters home for imaginary friends start
10,when did us get involved in vietnam war
11,how are the american declaration of independence and french declaration of the rights of man similar
12,what territory was fought over by india and pakistan
13,when did 17 nam summit meet take place
14,when did jack and the beanstalk take place
15,what is the meaning of mbbs and md
16,character sketch of hamlet in the play hamlet
17,who made the song my achy breaky heart
18,when do the assassination of gianni versace come on
19,where was the movie paint your wagon filmed
20,who sang go rest high on the mountain
21,when did the movie cooley high come out
22,i did two tours of duty in vietnam song
23,where is may i come in madam serial
24,who plays sonny's father in general hospital
25,when was the first heart transplant performed in the world
26,who does the voice of arby's commercial
27,when did the us military start using hummers
28,what time do they stop selling alcohol in south carolina
29,who is known as a father of indian cricket
30,what year did they stop making impala ss
31,amusement park on north carolina south carolina border
32,does kirby vacuum still sell door to door
33,who does the voice of madame gazelle in peppa pig
34,who won the battle of picacho pass in arizona
35,who gave the motto back to the vedas
36,when does wally west becomes a speedster in the flash
37,book that led to the meat inspection act
38,where does a hamster live in the wild
39,where was the first mardi gras in the us
40,what's the difference between a calico cat and a tortoiseshell cat
41,where was 10 things i hate about u filmed
42,who plays the queen of thorns in game of thrones
43,where was the movie just getting started filmed at
44,what is the name of the diamond shaped building in chicago
45,how many years can you be president in russia
46,which street is the strip in las vegas
47,who is the music director of pirates of the caribbean
48,are anglican and church of england the same
49,what type of snake is green and black
50,how did triangular trade benefit european colonies in the americas
51,when was the department of the navy established
52,how many votes needed to confirm a supreme court justice
53,when was mtn mobile money launched in uganda
54,where does the iron in your blood come from
55,who composed the pange lingua mass for the sistine chapel choir in about 1513
56,who sang the sunny side of the street
57,when did the national anthem became our national anthem
58,who has the right to issue coins in india
59,who plays tracey in birds of a feather
60,who played the emperor in the return of the jedi
61,when was the microscope invented and by whom
62,when did the norfolk broads become a national park
63,who is regarded as the finest stringed instrument builder of all time
64,where did the dukes of hazzard take place
65,who replaced clarence in the e street band
66,when was the safety car introduced in f1
67,who sang killing me softly with his song first
68,when does the 18th century start and end
69,who is the only son of hori and dhaniya in godan
70,how did jim propose to pam on the office
71,where did yellowstone national park get its name
72,who made up the second coalition in 1798
73,what is the name of ramaiya vastavaiya heroine
74,who does cartman's voice on south park
75,what is the bullys name on the simpsons
76,where's the old man in pawn stars
77,who initiated the game of cricket among india and how
78,where do trans fats go in the body
